date,region,sst_mean
2000-01-01,indian_ocean,27.5935848260008
2000-02-01,indian_ocean,27.539419892823105
2000-03-01,indian_ocean,27.943319618070035
2000-04-01,indian_ocean,28.45612445686876
2000-05-01,indian_ocean,28.30547829885641
2000-06-01,indian_ocean,27.415942130363884
2000-07-01,indian_ocean,26.879716805182397
2000-08-01,indian_ocean,26.714864036772926
2000-09-01,indian_ocean,26.940041012606255
2000-10-01,indian_ocean,27.37211615608089
2000-11-01,indian_ocean,27.599123404238878
2000-12-01,indian_ocean,27.457143684744132
2001-01-01,indian_ocean,27.347415225531964
2001-02-01,indian_ocean,27.63083777530248
2001-03-01,indian_ocean,28.32244677828716
2001-04-01,indian_ocean,28.77595026941719
2001-05-01,indian_ocean,28.69582611495277
2001-06-01,indian_ocean,27.773701275890687
2001-07-01,indian_ocean,27.01713780320044
2001-08-01,indian_ocean,26.757881702582164
2001-09-01,indian_ocean,26.94876616926829
2001-10-01,indian_ocean,27.32635020163568
2001-11-01,indian_ocean,27.532697158761017
2001-12-01,indian_ocean,27.896778562920574
2002-01-01,indian_ocean,27.80167267393854
2002-02-01,indian_ocean,27.87140418162991
2002-03-01,indian_ocean,28.56913472287358
2002-04-01,indian_ocean,29.039209018766385
2002-05-01,indian_ocean,28.596245492482083
2002-06-01,indian_ocean,27.974603679013555
2002-07-01,indian_ocean,27.22820414580173
2002-08-01,indian_ocean,26.741894570379834
2002-09-01,indian_ocean,27.13777827656024
2002-10-01,indian_ocean,27.587653911476057
2002-11-01,indian_ocean,27.748929157855056
2002-12-01,indian_ocean,27.94800543188998
2003-01-01,indian_ocean,27.971253138505023
2003-02-01,indian_ocean,28.18883047287642
2003-03-01,indian_ocean,28.50861927585131
2003-04-01,indian_ocean,29.078289060746936
2003-05-01,indian_ocean,28.80346484769103
2003-06-01,indian_ocean,28.113017296945557
2003-07-01,indian_ocean,27.29622709033416
2003-08-01,indian_ocean,26.836754908721428
2003-09-01,indian_ocean,27.134801201766003
2003-10-01,indian_ocean,27.416372962814
2003-11-01,indian_ocean,27.59948349965443
2003-12-01,indian_ocean,27.48924126058024
2004-01-01,indian_ocean,27.80492355944935
2004-02-01,indian_ocean,28.00519832503115
2004-03-01,indian_ocean,28.406213147363296
2004-04-01,indian_ocean,28.99796002321292
2004-05-01,indian_ocean,28.44793320241893
